filename	task	run	subject	MotionExclusion	MeanFD	#Artifacts_FD	MeanDVARS	#Artifacts_DVARS	#Artifacts_ART
func/sub-pixar117_task-pixar_bold.nii.gz	pixar		sub-pixar117	False	0.3233476211736526	2	2.170936221556886	101	1
func/sub-pixar118_task-pixar_bold.nii.gz	pixar		sub-pixar118	False	0.14188756283635925	2	1.6848462335329342	85	2
func/sub-pixar119_task-pixar_bold.nii.gz	pixar		sub-pixar119	False	0.2776208658287425	8	1.6881010898203594	80	8
func/sub-pixar120_task-pixar_bold.nii.gz	pixar		sub-pixar120	False	0.26305054653413174	5	1.6319384730538922	69	4
func/sub-pixar121_task-pixar_bold.nii.gz	pixar		sub-pixar121	False	0.5146914254419162	15	1.854421508982036	95	12
func/sub-pixar122_task-pixar_bold.nii.gz	pixar		sub-pixar122	False	0.40961488185029943	0	1.706845892215569	94	3
func/sub-pixar123_task-pixar_bold.nii.gz	pixar		sub-pixar123	False	0.15769659564730537	0	2.2401990119760473	120	0
func/sub-pixar124_task-pixar_bold.nii.gz	pixar		sub-pixar124	False	0.5385243328598802	26	1.4441296467065872	60	19
func/sub-pixar125_task-pixar_bold.nii.gz	pixar		sub-pixar125	False	0.14755978714550896	3	1.6557903233532933	71	4
func/sub-pixar126_task-pixar_bold.nii.gz	pixar		sub-pixar126	False	0.19163447443113768	0	1.6857650059880238	87	3
func/sub-pixar127_task-pixar_bold.nii.gz	pixar		sub-pixar127	False	0.19648202562514971	0	1.7122076407185627	60	1
func/sub-pixar128_task-pixar_bold.nii.gz	pixar		sub-pixar128	False	0.13178224772215566	0	2.0661476526946108	112	0
func/sub-pixar129_task-pixar_bold.nii.gz	pixar		sub-pixar129	False	0.08536982601077842	0	1.7693456706586825	65	0
func/sub-pixar130_task-pixar_bold.nii.gz	pixar		sub-pixar130	False	0.23273695337724545	0	2.004426269461078	110	1
func/sub-pixar131_task-pixar_bold.nii.gz	pixar		sub-pixar131	False	0.26060593899999995	0	2.1726403892215567	116	0
func/sub-pixar132_task-pixar_bold.nii.gz	pixar		sub-pixar132	False	0.15492892714850298	0	1.3688774970059878	19	0
func/sub-pixar133_task-pixar_bold.nii.gz	pixar		sub-pixar133	False	0.2866515940898203	0	1.8875786586826349	87	0
func/sub-pixar134_task-pixar_bold.nii.gz	pixar		sub-pixar134	False	0.20203537894850293	0	3.112656389221557	146	1
func/sub-pixar135_task-pixar_bold.nii.gz	pixar		sub-pixar135	False	0.0971483669126946	0	1.6225541856287424	51	5
func/sub-pixar136_task-pixar_bold.nii.gz	pixar		sub-pixar136	False	0.276484602751497	1	1.6886209520958082	118	4
func/sub-pixar137_task-pixar_bold.nii.gz	pixar		sub-pixar137	False	0.19527921030507783	0	1.437493017964072	42	1
func/sub-pixar138_task-pixar_bold.nii.gz	pixar		sub-pixar138	False	0.1315635777532934	0	2.303191137724551	137	1
func/sub-pixar139_task-pixar_bold.nii.gz	pixar		sub-pixar139	False	0.11697094294191616	1	1.9114471556886228	65	3
func/sub-pixar140_task-pixar_bold.nii.gz	pixar		sub-pixar140	False	0.14678229054131733	0	1.8218424491017964	82	1
func/sub-pixar141_task-pixar_bold.nii.gz	pixar		sub-pixar141	False	0.10936284067784428	0	1.7507491197604788	70	0
func/sub-pixar142_task-pixar_bold.nii.gz	pixar		sub-pixar142	False	0.2730006766826347	0	2.2397781017964076	99	0
func/sub-pixar143_task-pixar_bold.nii.gz	pixar		sub-pixar143	False	0.11902556993418863	0	1.798153610778443	76	0
func/sub-pixar144_task-pixar_bold.nii.gz	pixar		sub-pixar144	False	0.32462612136646707	6	1.6541254491017963	85	5
func/sub-pixar145_task-pixar_bold.nii.gz	pixar		sub-pixar145	False	0.10032281859101795	0	1.351567245508982	44	0
func/sub-pixar146_task-pixar_bold.nii.gz	pixar		sub-pixar146	False	0.11791917951856283	0	2.0469883413173653	101	0
func/sub-pixar147_task-pixar_bold.nii.gz	pixar		sub-pixar147	False	0.10064050934970055	0	1.1417348323353294	26	2
func/sub-pixar148_task-pixar_bold.nii.gz	pixar		sub-pixar148	False	0.17395935219377248	0	1.7997269940119758	67	3
func/sub-pixar149_task-pixar_bold.nii.gz	pixar		sub-pixar149	False	0.3592982608293413	5	1.8067812395209584	83	5
func/sub-pixar150_task-pixar_bold.nii.gz	pixar		sub-pixar150	False	0.23500836729353292	8	2.076228640718563	102	8
func/sub-pixar151_task-pixar_bold.nii.gz	pixar		sub-pixar151	False	0.16734273934371258	0	2.2444305568862273	123	0
func/sub-pixar152_task-pixar_bold.nii.gz	pixar		sub-pixar152	False	0.0674526084341317	0	1.9946640119760484	66	0
func/sub-pixar153_task-pixar_bold.nii.gz	pixar		sub-pixar153	False	0.18696772500838324	0	1.9055620598802399	68	0
func/sub-pixar154_task-pixar_bold.nii.gz	pixar		sub-pixar154	False	0.1478981652778443	0	2.401156976047904	120	0
func/sub-pixar155_task-pixar_bold.nii.gz	pixar		sub-pixar155	False	0.21215708232335326	0	3.0238219161676647	155	1
