"time","ID","lamygdala","ramygdala","lFFA","rFFA","lSTS","rSTS","lMMPFC","rMMPFC"
0,"116",-0.38110426,0.08648402,-0.3643718,-0.275315,-0.30962905,-0.1666714,-0.34345725,-0.12953758
0,"117",-0.38326877,-0.18927419,-0.055301607,-0.44421855,0.43246508,0.70657873,1.4767348,1.4974035
0,"118",-1.3023932,-0.9460975,-1.3536706,-1.2976602,-0.4364864,-0.4639809,0.819613,-0.53164154
0,"119",-2.0912945,-1.4692765,-1.4287214,-1.7807621,0.2865478,0.08047639,1.0877502,-0.18912348
0,"120",-1.7987974,-1.6233017,-0.75516635,-0.69067466,-0.97518384,-0.78720355,-0.7041057,-1.0740845
0,"121",-1.2209203,-1.6487886,-2.2460449,-3.0087202,-0.6054037,-2.711544,-2.138125,-3.7515073
0,"122",0.96932405,-1.240025,-1.3922523,-1.6658828,0.23946336,1.0533321,2.3849914,2.1431668
0,"123",-0.87412465,-0.8748935,-1.8820736,-1.6273317,-1.7695736,-1.0500642,0.6340058,0.3603633
0,"124",-0.5409855,0.14969547,-0.473509,-0.23100486,-0.48335782,-0.5987338,-0.9321724,-1.3595387
0,"125",0.16587758,-0.045702312,-0.76996434,-0.9100553,0.67660093,-0.5014845,0.020422561,1.4128933
0,"126",0.35585055,-0.918509,0.758495,-0.7350129,1.7636282,-0.12031648,0.9206694,-0.0142839495
0,"127",0.5738809,0.30171153,-0.28695235,-0.6479314,-0.476017,-0.1822895,1.7552792,1.2539451
0,"128",-2.4209309,-1.8418641,-1.3611529,-0.8405596,-2.3091645,-1.5686942,-0.39154866,-1.7255697
0,"129",0.08840255,0.094833285,0.23541784,-0.3079126,-0.47523412,-0.45384258,-0.9118191,-1.0030707
0,"130",-0.14906241,-0.08349103,-1.4770651,-1.5454152,1.2192234,-0.4544742,2.1896002,1.610822
0,"131",0.15705761,-0.31144613,-1.0690886,-1.5389564,-0.37691966,-1.3159616,-1.1568426,-0.42055696
0,"132",0.8274133,0.03871976,1.1152335,0.3197754,-0.63923424,-0.43497077,-0.9671005,-0.47453618
0,"133",-1.0732396,-1.361723,-0.8677414,-1.5557534,-0.23956004,-0.8505236,-0.797904,-0.66545415
0,"134",-1.3070048,-1.1532122,-0.12501685,-1.4646972,-1.1983668,-0.5728742,-1.5040416,-1.5669743
0,"135",-0.56724125,-0.8410813,-1.7192929,-2.2872787,-0.7117063,-1.5067186,-1.32341,-1.8437805
0,"136",-1.028957,-1.2574735,-0.18441594,-1.3959424,0.2877573,-1.2986696,0.8860744,0.11400807
0,"137",-0.98056114,-1.4027735,-0.9373927,-0.94172525,-0.9159462,-1.8400367,1.6622086,-1.6831319
0,"138",-1.0554084,-1.2275251,-0.64763224,-0.8872042,0.34129265,-0.23568371,0.7852224,1.0014124
0,"139",0.7657969,0.2926077,-0.45119792,-0.29693827,0.43901777,-0.58838445,-0.5532994,-0.80671674
0,"140",0.5439525,0.36513755,0.19900453,-0.66042167,0.012169776,-0.70271325,0.85532016,0.78256035
0,"141",-1.1681225,-1.3544676,-1.1877292,-0.06928827,-0.1284091,-0.3604807,0.44954365,0.79258907
0,"142",-0.11706053,-0.03108144,-0.03725943,-1.0098089,0.7352863,-0.6589937,2.2743263,1.1720068
0,"143",0.40966684,-0.17248091,-0.7339269,-0.23814502,0.0323074,-0.8332033,-0.75389373,-1.5449464
0,"144",0.2703757,-0.5711167,-0.7038565,-1.5174059,-1.1964355,-2.1761143,0.72975695,0.1677015
0,"145",0.13939022,-0.47902462,-1.7468382,-1.4967797,0.25641075,0.49010938,0.5458032,0.35101342
0,"146",0.7217558,0.32643566,-0.7286615,-1.2238551,1.7550014,0.7547963,1.6060886,1.8571894
0,"147",0.15094633,0.23493344,-1.2014818,-0.7881352,-1.2054222,-0.36039624,-1.3085408,-0.37590152
0,"148",-0.24285915,-0.6019691,-1.7773666,-1.1786195,-0.13344252,-0.22424743,0.13124397,1.2229195
0,"149",0.35274976,-0.6856345,-0.2832536,-2.8114004,-0.32493663,-1.7523363,0.80678844,-0.21003714
0,"150",-0.010779734,0.2630284,-1.4977804,-1.3579974,-1.0021379,-0.06973151,-0.24312592,-1.2146803
0,"151",0.609367,0.5385261,-1.1095431,-0.95509326,-0.31743693,-1.1829817,-0.53959095,-1.9928051
0,"152",0.052597463,0.3970229,-1.2193464,-2.3017418,-0.28618956,-1.3053248,0.02852031,-1.0851341
0,"153",-0.83041865,-0.56615067,-0.77124256,0.3032361,-0.999156,-0.55492306,0.09283309,-0.081108674
0,"154",-0.43735692,-0.9153241,-0.40439177,-1.0183661,0.15373524,-0.27509362,1.2343267,1.1267529
0,"155",-0.37095514,-0.40537313,-0.8216152,-1.2508231,0.09164033,-0.17925322,0.15671149,-0.039257884
1,"001",0.6281504,-1.1381605,0.030574584,-1.2117364,-0.48157892,-0.9613884,0.61622334,-0.34212673
1,"002",NA,NA,NA,NA,NA,NA,NA,NA
1,"003",0.5797205,0.6683873,-0.34785575,0.40550822,-1.6889747,0.59094983,0.34277356,0.7035956
1,"004",0.13350412,0.7218698,1.6136608,1.9268084,1.8032248,1.3029051,-1.7313553,-2.097444
1,"005",1.6150781,1.1936163,0.080384,-0.30100203,1.6730543,0.25470582,1.4106098,0.80375785
1,"006",0.36746186,0.4991814,0.3280697,-0.4728958,0.569473,-0.48450884,-0.3350103,-1.9993923
1,"007",-0.16397278,-0.881431,-1.7663422,-1.8761587,0.39350682,-0.59844,-0.64049435,0.93814194
1,"008",1.0444794,0.648036,-1.9264841,-0.51138365,0.33395994,-0.69910014,1.591121,0.93925554
1,"010",0.424168,0.01228016,-1.5503447,-1.0905094,0.25478944,-0.21881363,0.63794553,-0.5889019
1,"011",0.75838596,-0.39982834,-0.31749147,-1.5278281,0.49091768,0.09500433,-0.25753483,0.25937596
1,"012",-1.1219068,-2.3285296,-2.4481888,-2.1363838,-1.6841049,-1.419982,-2.2549834,-1.9550078
1,"013",-1.6668267,-2.1374729,-1.5188016,-1.2644131,-0.5451738,-1.8361285,0.523469,-0.6753235
1,"014",-0.13352495,1.1724097,0.78542846,-0.96681845,0.29925376,0.2757658,-0.95274556,0.6550228
1,"015",0.435821,2.229616,-0.57162154,-0.4495569,1.7364019,0.037396234,1.7193906,2.4459195
1,"016",1.9688385,1.9716854,0.66571856,-0.38379645,0.10085477,-0.56921756,-1.5454113,-1.8968899
1,"017",0.38021863,-0.45489192,-2.1549675,-0.48854953,0.47225446,-1.4005429,0.1623101,-0.8198894
1,"018",1.9751266,1.7953242,-0.36337304,-0.8396133,1.7975346,0.011045063,0.9459816,-0.4741382
1,"019",-1.3700572,-1.5428959,0.1616043,-0.9645642,1.1126335,-0.34978896,-1.6345276,-1.183471
1,"020",-0.41321716,-0.73287356,0.03478083,-1.14542,0.35674727,0.022524035,-0.8405302,-1.5091082
1,"021",1.3937311,0.6120624,0.46569648,-0.79002905,1.8730778,-0.39632633,-2.212766,-3.1902785
1,"022",1.2543774,-0.73917514,0.84868276,-0.52329797,1.9559276,-0.14779197,1.2204659,0.0031606047
1,"023",0.94014263,0.02818657,0.246329,-0.34434193,0.12009285,0.11933645,0.84615743,-0.13648981
1,"024",-0.51266664,-1.0264606,-0.48835057,-0.71489906,1.0597317,0.43128744,1.5574647,1.4510605
1,"025",2.2653713,1.2822888,0.24996857,0.9646324,1.1120352,-0.26405206,0.041291334,0.13489752
1,"026",1.1796606,-0.15243807,-0.09897405,-1.2126849,0.5123783,-0.13373871,1.4955784,1.7065842
1,"027",NA,NA,NA,NA,NA,NA,NA,NA
1,"029",0.6427823,1.2314115,-0.7290308,-1.0135758,-0.24899468,0.1515538,0.7963744,-1.055125
1,"030",1.4286182,1.2403796,-1.2325989,-1.0470955,-0.73292893,-1.3524959,1.6827615,0.40480357
1,"031",1.4807998,1.790376,-0.14402325,0.20428884,0.7754709,0.1650006,0.6879914,0.707487
1,"032",0.89131075,-0.8798353,0.86468744,-0.66063654,-0.63911575,-0.6770996,-1.2811465,-0.7060545
1,"033",-1.9364465,-2.0454082,-2.0338473,-1.934817,-0.6315066,-1.1861311,-0.45035562,-0.7804689
1,"034",-0.6147288,-0.7517979,0.9793617,0.7289582,-0.0034878016,-0.22432432,-0.68550545,-0.31102318
1,"035",-0.01786782,-0.9827557,-2.4230094,-0.7786362,-1.6798671,-0.9076549,-1.0116117,-1.1716726
1,"036",NA,NA,NA,NA,NA,NA,NA,NA
1,"037",-0.47811994,-0.531218,1.4150152,0.8807071,1.9887812,0.3462484,0.3980642,-0.16696596
