time,sub,run,FS-left-amygdala,FS-right-amygdala
67,pixar128,run-01,0.035377413,0.0237392
68,pixar128,run-01,-0.36505592,-0.54931414
69,pixar128,run-01,0.005502641,-0.29365224
70,pixar128,run-01,0.2805767,0.07323079
71,pixar128,run-01,0.51059914,0.400335
72,pixar128,run-01,0.20764244,0.25571948
73,pixar128,run-01,0.10126598,0.17706567
74,pixar128,run-01,0.19211452,0.18864223
75,pixar128,run-01,0.19625816,-0.0024463073
76,pixar128,run-01,0.20665118,0.15118852
77,pixar128,run-01,0.16630171,0.5787379
78,pixar128,run-01,0.33156198,0.44289842
79,pixar128,run-01,0.49489588,0.56021804
80,pixar128,run-01,-0.1610541,-0.34681758
81,pixar128,run-01,0.060820036,-0.20805398
82,pixar128,run-01,-0.124390736,-0.1423115
83,pixar128,run-01,0.15729852,0.59607106
84,pixar128,run-01,0.3579664,0.6348839
85,pixar128,run-01,0.5326693,0.46499935
86,pixar128,run-01,0.28119695,0.20306523
87,pixar128,run-01,0.78375834,0.64892733
88,pixar128,run-01,1.0186789,0.9507304
89,pixar128,run-01,0.78431857,0.69690156
90,pixar128,run-01,-0.015887298,0.0035569237
91,pixar128,run-01,0.3148489,-0.18724404
92,pixar128,run-01,0.71857476,0.75825983
93,pixar128,run-01,0.60314524,0.560563
94,pixar128,run-01,0.6005906,0.61884594
95,pixar128,run-01,0.15565725,0.28322348
96,pixar128,run-01,0.12841399,0.15480058
97,pixar128,run-01,0.5873568,0.5875548
98,pixar128,run-01,0.85107344,0.75634176
99,pixar128,run-01,0.67699313,0.470899
100,pixar128,run-01,0.818412,0.6861332
101,pixar128,run-01,0.30945948,0.6594701
102,pixar128,run-01,-0.00928833,0.16334435
103,pixar128,run-01,0.34498915,0.34660977
104,pixar128,run-01,1.4355314,1.298791
105,pixar128,run-01,0.9820821,1.1018969
106,pixar128,run-01,0.93378466,0.7967798
107,pixar128,run-01,0.56579727,0.6389765
108,pixar128,run-01,0.04586875,0.46380588
109,pixar128,run-01,-0.24654742,-0.106322095
110,pixar128,run-01,1.1620574,0.8810981
111,pixar128,run-01,0.986566,1.0593228
112,pixar128,run-01,0.030772302,0.3362733
113,pixar128,run-01,0.19674584,-0.019361986
114,pixar128,run-01,0.9564347,0.7625585
115,pixar128,run-01,0.30460608,0.7718196
116,pixar128,run-01,0.5749489,0.5228208
117,pixar128,run-01,0.5519515,0.39881608
118,pixar128,run-01,0.31563845,0.55821776
119,pixar128,run-01,0.5008616,0.86406
120,pixar128,run-01,1.2747208,1.5209438
121,pixar128,run-01,0.96479756,0.94943434
122,pixar128,run-01,0.9191912,1.101166
123,pixar128,run-01,0.012291124,0.04722015
124,pixar128,run-01,0.019249605,-0.3244504
125,pixar128,run-01,-0.122031525,0.15226683
126,pixar128,run-01,0.23555335,0.3497547
127,pixar128,run-01,0.37773448,0.7789395
128,pixar128,run-01,0.645255,0.6419191
129,pixar128,run-01,0.86295617,0.61942965
130,pixar128,run-01,0.8664553,0.85048884
131,pixar128,run-01,0.32733926,0.56323355
132,pixar128,run-01,0.4557665,0.4880048
133,pixar128,run-01,0.9491183,1.0767794
134,pixar128,run-01,1.2708738,1.0322827
135,pixar128,run-01,0.6081084,0.86587346
