time,avg_rFFA,avg_lFFA,avg_rSTS,avg_lSTS,avg_rMMPFC,avg_lMMPFC
155,0.093080736,-0.082695034,0.472766047,0.068911433,0.556329188,0.789181105
156,0.104890751,0.056174716,0.755583135,0.275763965,0.453557525,0.219648815
157,0.062290346,0.061555906,0.656940647,0.218100933,0.355254623,0.116636533
158,-0.055371547,0.019829582,0.485671254,0.416230011,-0.2175123,-0.546442721
159,0.167769867,0.17675641,0.403963435,0.175254281,-0.32985516,-0.533185314
160,0.499708006,0.286366444,0.620083476,-0.046129114,-0.012179269,-0.49581308
161,0.654681563,0.442650038,0.884639731,0.118272406,0.383148297,-0.439866081
162,0.614321532,0.368436254,1.184194476,0.208211308,0.415199026,-0.231192865
163,0.421599592,0.159337713,1.378772359,0.374583867,0.540376173,0.049493542
164,0.136661586,-0.183175828,0.752330186,-0.095805986,0.062592061,-0.351773145
165,-0.138921638,-0.365847457,-0.044030027,-0.304168049,-0.554028624,-0.45644712
166,-0.271459444,-0.272930031,-0.504501649,-0.176889497,-0.804724784,-0.300899433
167,-0.064270438,0.185835239,-0.334650185,-0.154551423,-0.819696254,0.198950931
168,-0.267597768,-0.050589184,-0.531117963,-0.102567135,-0.665498664,0.380884877
169,-0.244170284,-0.101027161,-0.526487331,-0.278447572,,
170,-0.21916812,0.088495188,-0.384063314,0.108208814,,
171,-0.346158848,-0.08398996,-0.491840274,-0.211729754,,
172,-0.192135708,-0.035284842,-0.551490431,-0.170107018,,
173,-0.176477576,-0.076335815,-0.465333486,-0.014742955,,
174,-0.004971765,-0.037771741,-0.495933194,0.188547941,,
175,-0.080564016,-0.19959473,-0.210157621,0.097194339,,
