time,sub,run,half,fROI-lMMPFC-lmmpfc-ls2-splithalf-01,fROI-lMMPFC-lmmpfc-ls2-splithalf-02,fROI-rMMPFC-rmmpfc-rs2-splithalf-01,fROI-rMMPFC-rmmpfc-rs2-splithalf-02
20,pixar002,run-01,splithalf-01,,0.08395919,,-0.33657736
21,pixar002,run-01,splithalf-01,,-0.30920416,,-0.512823
22,pixar002,run-01,splithalf-01,,0.9320879,,0.49422255
23,pixar002,run-01,splithalf-01,,0.16235223,,-0.1755141
24,pixar002,run-01,splithalf-01,,-0.04941912,,-0.6751792
25,pixar002,run-01,splithalf-01,,0.4545826,,-0.23548608
26,pixar002,run-01,splithalf-01,,0.61105174,,-0.07192181
27,pixar002,run-01,splithalf-01,,0.6095132,,0.018898305
28,pixar002,run-01,splithalf-01,,-0.16964523,,-0.8904621
29,pixar002,run-01,splithalf-01,,-1.0873058,,-0.031965993
30,pixar002,run-01,splithalf-01,,,,
31,pixar002,run-01,splithalf-01,,,,
32,pixar002,run-01,splithalf-01,,-2.094608,,-2.0581527
33,pixar002,run-01,splithalf-01,,-0.24859893,,-0.42452994
34,pixar002,run-01,splithalf-01,,-0.27259517,,0.051749825
35,pixar002,run-01,splithalf-01,,-0.009428841,,0.16582659
36,pixar002,run-01,splithalf-01,,0.78427726,,1.2831647
37,pixar002,run-01,splithalf-01,,0.65728515,,0.26902896
38,pixar002,run-01,splithalf-01,,0.26794797,,-0.3369375
39,pixar002,run-01,splithalf-01,,0.046066947,,0.029024918
40,pixar002,run-01,splithalf-01,,-0.6935618,,0.24612188
41,pixar002,run-01,splithalf-01,,-0.20451021,,0.33421737
42,pixar002,run-01,splithalf-01,,-0.08195887,,-0.38517535
43,pixar002,run-01,splithalf-01,,0.2947014,,-0.35054523
44,pixar002,run-01,splithalf-01,,0.4020935,,-0.026408678
45,pixar002,run-01,splithalf-01,,0.88377476,,0.44459146
46,pixar002,run-01,splithalf-01,,-0.59146327,,-0.49702644
47,pixar002,run-01,splithalf-01,,0.26572123,,0.40165478
48,pixar002,run-01,splithalf-01,,0.071115226,,0.09424549
49,pixar002,run-01,splithalf-01,,-0.29129985,,-0.42263675
50,pixar002,run-01,splithalf-01,,0.47126117,,0.24157444
51,pixar002,run-01,splithalf-01,,-0.10571276,,-0.26711702
52,pixar002,run-01,splithalf-01,,0.769176,,-0.23822892
53,pixar002,run-01,splithalf-01,,0.6393404,,0.47452864
54,pixar002,run-01,splithalf-01,,-0.11263698,,0.7044875
55,pixar002,run-01,splithalf-01,,0.40261364,,0.042108875
56,pixar002,run-01,splithalf-01,,-0.08234439,,0.5726942
57,pixar002,run-01,splithalf-01,,0.09804086,,0.47383696
58,pixar002,run-01,splithalf-01,,0.06006204,,0.53083
59,pixar002,run-01,splithalf-01,,-0.03245388,,0.75406295
60,pixar002,run-01,splithalf-01,,0.29997805,,0.6295764
61,pixar002,run-01,splithalf-01,,0.8147581,,0.8672682
62,pixar002,run-01,splithalf-01,,0.87575036,,1.2120972
63,pixar002,run-01,splithalf-01,,1.3484895,,0.7218092
64,pixar002,run-01,splithalf-01,,0.36431456,,0.60769594
65,pixar002,run-01,splithalf-01,,0.37110046,,0.44230232
66,pixar002,run-01,splithalf-01,,0.109127425,,0.63669264
67,pixar002,run-01,splithalf-01,,-0.30890512,,0.8243456
68,pixar002,run-01,splithalf-01,,-0.6012732,,0.36630312
69,pixar002,run-01,splithalf-01,,0.37974876,,0.66793907
70,pixar002,run-01,splithalf-01,,0.46018058,,0.38933748
71,pixar002,run-01,splithalf-01,,0.4156857,,0.683399
72,pixar002,run-01,splithalf-01,,0.13557583,,0.0047309874
73,pixar002,run-01,splithalf-01,,0.687045,,0.20950672
74,pixar002,run-01,splithalf-01,,0.42432016,,0.4941782
75,pixar002,run-01,splithalf-01,,0.4315827,,0.42282295
76,pixar002,run-01,splithalf-01,,0.508365,,0.15020147
