time,sub,run,half,fROI-lFFA-lffa-lloc-splithalf-01,fROI-lFFA-lffa-lloc-splithalf-02,fROI-rFFA-rffa-rloc-splithalf-01,fROI-rFFA-rffa-rloc-splithalf-02
18,pixar002,run-01,splithalf-01,,0.46626225,,-0.7369946
19,pixar002,run-01,splithalf-01,,,,
20,pixar002,run-01,splithalf-01,,-2.068231,,-0.1838187
21,pixar002,run-01,splithalf-01,,-0.9419033,,0.015642088
22,pixar002,run-01,splithalf-01,,-0.054303486,,0.055603582
23,pixar002,run-01,splithalf-01,,-0.1848453,,-0.41622907
24,pixar002,run-01,splithalf-01,,0.34215373,,-0.65987736
25,pixar002,run-01,splithalf-01,,0.091136776,,-0.16412227
26,pixar002,run-01,splithalf-01,,0.42606878,,-0.058887698
27,pixar002,run-01,splithalf-01,,-0.0944458,,-0.10098617
28,pixar002,run-01,splithalf-01,,0.7665113,,-1.3844193
29,pixar002,run-01,splithalf-01,,-0.08828722,,-0.26025176
30,pixar002,run-01,splithalf-01,,,,
31,pixar002,run-01,splithalf-01,,,,
32,pixar002,run-01,splithalf-01,,0.01123408,,-1.3251642
33,pixar002,run-01,splithalf-01,,0.15416698,,-0.23627079
34,pixar002,run-01,splithalf-01,,-0.51470536,,0.11764874
35,pixar002,run-01,splithalf-01,,-0.876994,,0.052977663
36,pixar002,run-01,splithalf-01,,0.25661856,,0.12073765
37,pixar002,run-01,splithalf-01,,-1.172739,,-0.5455958
38,pixar002,run-01,splithalf-01,,0.70585763,,-0.47235233
39,pixar002,run-01,splithalf-01,,0.7510392,,0.1982279
40,pixar002,run-01,splithalf-01,,0.08821313,,-0.03917979
41,pixar002,run-01,splithalf-01,,0.29780477,,0.02995048
42,pixar002,run-01,splithalf-01,,-0.038439624,,-0.49932924
43,pixar002,run-01,splithalf-01,,0.38300055,,-0.20685828
44,pixar002,run-01,splithalf-01,,0.26441184,,-0.18039386
45,pixar002,run-01,splithalf-01,,0.41580057,,0.18678068
46,pixar002,run-01,splithalf-01,,0.47094822,,-0.34949496
47,pixar002,run-01,splithalf-01,,0.478657,,-0.021247204
48,pixar002,run-01,splithalf-01,,-0.72742045,,-0.5667092
49,pixar002,run-01,splithalf-01,,0.9049121,,-0.021333046
50,pixar002,run-01,splithalf-01,,1.1035532,,0.3091454
51,pixar002,run-01,splithalf-01,,0.1441606,,-1.1338649
52,pixar002,run-01,splithalf-01,,0.5110198,,-0.19058582
53,pixar002,run-01,splithalf-01,,1.1858399,,0.34429842
54,pixar002,run-01,splithalf-01,,0.88182515,,0.3736753
55,pixar002,run-01,splithalf-01,,0.5776679,,-0.4514122
56,pixar002,run-01,splithalf-01,,0.19218953,,0.3333983
57,pixar002,run-01,splithalf-01,,0.093136825,,0.37465668
58,pixar002,run-01,splithalf-01,,-0.31585726,,0.46571904
59,pixar002,run-01,splithalf-01,,0.4782133,,0.40277463
60,pixar002,run-01,splithalf-01,,0.08348557,,0.75194615
61,pixar002,run-01,splithalf-01,,0.46653432,,0.50215036
62,pixar002,run-01,splithalf-01,,0.71945703,,1.0086552
63,pixar002,run-01,splithalf-01,,0.005227661,,0.95753413
64,pixar002,run-01,splithalf-01,,-0.09224118,,0.388475
65,pixar002,run-01,splithalf-01,,0.80591166,,0.59818804
66,pixar002,run-01,splithalf-01,,0.42290577,,0.9845047
67,pixar002,run-01,splithalf-01,,0.33325273,,0.84025574
68,pixar002,run-01,splithalf-01,,0.3189628,,1.4378538
69,pixar002,run-01,splithalf-01,,0.26214653,,1.7528404
70,pixar002,run-01,splithalf-01,,-0.6400038,,1.5372846
71,pixar002,run-01,splithalf-01,,0.10859152,,1.1384411
72,pixar002,run-01,splithalf-01,,-0.1894083,,0.62690765
73,pixar002,run-01,splithalf-01,,-0.09476016,,0.80744743
74,pixar002,run-01,splithalf-01,,-0.44252238,,1.0519276
75,pixar002,run-01,splithalf-01,,-0.54799503,,1.1547161
76,pixar002,run-01,splithalf-01,,-0.5672304,,0.6607424
77,pixar002,run-01,splithalf-01,,-0.74349594,,0.25940832
78,pixar002,run-01,splithalf-01,,0.045289837,,0.46938586
79,pixar002,run-01,splithalf-01,,-0.4035328,,0.74384075
80,pixar002,run-01,splithalf-01,,-0.30830923,,0.11631118
81,pixar002,run-01,splithalf-01,,-0.4318351,,0.19992565
0,pixar002,run-01,splithalf-02,-1.1869493,,-0.03150726,
1,pixar002,run-01,splithalf-02,0.5711616,,0.08275799,
2,pixar002,run-01,splithalf-02,0.513786,,0.6300073,
3,pixar002,run-01,splithalf-02,2.0202358,,-0.43520004,
4,pixar002,run-01,splithalf-02,0.26971877,,-0.19233796,
5,pixar002,run-01,splithalf-02,0.79995775,,-0.6199201,
6,pixar002,run-01,splithalf-02,0.6970488,,-0.6485325,
7,pixar002,run-01,splithalf-02,0.7161833,,0.7350036,
8,pixar002,run-01,splithalf-02,0.31127506,,0.06632672,
9,pixar002,run-01,splithalf-02,0.71828353,,-0.2001452,
10,pixar002,run-01,splithalf-02,0.8721382,,0.81840324,
11,pixar002,run-01,splithalf-02,1.0534084,,0.9878864,
12,pixar002,run-01,splithalf-02,-0.006346056,,-0.1989334,
13,pixar002,run-01,splithalf-02,1.0562134,,0.042191397,
14,pixar002,run-01,splithalf-02,0.38597047,,-0.43742818,
15,pixar002,run-01,splithalf-02,1.8409027,,-0.8468379,
16,pixar002,run-01,splithalf-02,0.7992317,,-0.37560874,
17,pixar002,run-01,splithalf-02,-0.37777254,,0.022818644,
18,pixar002,run-01,splithalf-02,0.2796054,,0.069513425,
19,pixar002,run-01,splithalf-02,0.533198,,0.012437594,
20,pixar002,run-01,splithalf-02,0.51364154,,-0.5324985,
21,pixar002,run-01,splithalf-02,-0.13440743,,-1.2313282,
22,pixar002,run-01,splithalf-02,0.06413454,,-0.5610877,
23,pixar002,run-01,splithalf-02,0.31285304,,-0.48163876,
24,pixar002,run-01,splithalf-02,0.20576644,,-0.2339956,
25,pixar002,run-01,splithalf-02,1.4827405,,-0.41884518,
26,pixar002,run-01,splithalf-02,-0.13292876,,-1.6998001,
27,pixar002,run-01,splithalf-02,-1.3569962,,-0.042495742,
28,pixar002,run-01,splithalf-02,-1.0612625,,-0.0865417,
29,pixar002,run-01,splithalf-02,0.15000227,,0.17723562,
30,pixar002,run-01,splithalf-02,-0.17810908,,0.23162894,
31,pixar002,run-01,splithalf-02,-1.5312254,,0.5078202,
32,pixar002,run-01,splithalf-02,-0.1809111,,0.09401415,
33,pixar002,run-01,splithalf-02,-0.7276054,,0.48889264,
34,pixar002,run-01,splithalf-02,-0.5311694,,0.90507984,
35,pixar002,run-01,splithalf-02,1.4883215,,1.1287562,
36,pixar002,run-01,splithalf-02,-0.7359452,,-0.29808062,
37,pixar002,run-01,splithalf-02,-0.33891287,,0.17595012,
38,pixar002,run-01,splithalf-02,-0.29381505,,0.34133992,
39,pixar002,run-01,splithalf-02,-0.28318003,,0.34639058,
40,pixar002,run-01,splithalf-02,0.18336639,,0.022277165,
41,pixar002,run-01,splithalf-02,0.64199895,,0.49442777,
42,pixar002,run-01,splithalf-02,-1.1688497,,1.058384,
43,pixar002,run-01,splithalf-02,-1.3137152,,0.3654922,
44,pixar002,run-01,splithalf-02,-0.6063391,,0.90524447,
